[INFO ] 2015-12-03 14:32:31,372 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449174739850 || time stamp: 1449174751372 || heartbeat: 25 || status: true
[INFO ] 2015-12-03 14:32:31,505 Node.class main Good Bye!
[INFO ] 2015-12-03 14:49:17,262 Node.class main Logging is succesfully initialized! Refer log file CS425_MP4_node.log
[INFO ] 2015-12-03 14:49:18,506 Node.class main Machine IP: 130.126.28.9 and Machine ID: 130.126.28.9:1449175758506
[INFO ] 2015-12-03 14:49:18,507 Node.class main Adding it's entry in the Gossip list!
[INFO ] 2015-12-03 14:49:18,509 Node.class main Checking for the introducer.
[INFO ] 2015-12-03 14:49:18,526 Node.class main Exiting from the method checkIntroducer.
[INFO ] 2015-12-03 14:49:18,532 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175758531 || heartbeat: 2 || status: true
[INFO ] 2015-12-03 14:49:18,534 IntroducerRejoinThread.class pool-1-thread-1 Ping Introducer begins.
[INFO ] 2015-12-03 14:49:18,534 IntroducerRejoinThread.class pool-1-thread-1 Exiting from the method pingIntroducer.
[INFO ] 2015-12-03 14:49:19,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175759031 || heartbeat: 3 || status: true
[INFO ] 2015-12-03 14:49:19,378 Node.class main User want to list the current members
[INFO ] 2015-12-03 14:49:19,378 Node.class main *********MachineId********	||	**Last Seen**	||	Hearbeat	||	Is Active?
[INFO ] 2015-12-03 14:49:19,378 Node.class main 130.126.28.9:1449175758506	||	1449175759031	||	3		||	true
[INFO ] 2015-12-03 14:49:19,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175759531 || heartbeat: 4 || status: true
[INFO ] 2015-12-03 14:49:20,031 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175760031 || heartbeat: 5 || status: true
[INFO ] 2015-12-03 14:49:20,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175760531 || heartbeat: 6 || status: true
